slots,scanPeriod (in slotframes),b_avg,SD,modelAvgSyncTime (s),testbedAvgSyncTime (s),testbedCIL,testbedCIU,diffInAvgSyncTime (%), maxDiffInCDF (%)
101,0.5,0.567886,0.0162274,6.61044,6.66143,6.49205,6.83378,0.771414,0.443367
101,2,0.598004,0.0146041,5.74722,5.83319,5.68732,5.97772,1.49584,1.69419
101,3.5,0.596154,0.0130898,4.96232,4.89269,4.77675,5.01556,1.40316,1.07182
101,5,0.612382,0.0141687,4.71271,4.74073,4.62378,4.86114,0.59453,1.00467
101,6.5,0.621753,0.00978364,4.61408,4.6914,4.5775,4.80576,1.6758,1.00429
101,8,0.604557,0.019631,4.66547,4.5967,4.48483,4.70939,1.47398,1.18866
101,9.5,0.611639,0.023363,4.63524,4.67197,4.56262,4.78589,0.792343,0.489613
101,11,0.620727,0.0157156,4.52784,4.54588,4.43749,4.65823,0.398324,0.728617
101,12.5,0.618037,0.0180796,4.52701,4.54452,4.44023,4.65709,0.386812,0.998135
101,14,0.593637,0.024396,4.8119,4.83543,4.71723,4.95461,0.488898,1.2924
101,15.5,0.608171,0.0128193,4.63254,4.64911,4.53624,4.76299,0.357677,0.470527
101,17,0.604735,0.00979812,4.66849,4.73903,4.62316,4.85454,1.511,1.02294
101,18.5,0.571279,0.00566546,5.06232,5.08483,4.95748,5.21474,0.444552,1.88873
101,20,0.591103,0.0125991,4.81739,4.7629,4.64867,4.88186,1.13095,0.939728
101,4,0.606063,0.00782767,4.64748,4.57859,4.46837,4.6904,1.48213,1.84369
101,0.992248,0.59145,0.0115477,6.32709,6.21365,6.05751,6.37172,1.79301,1.47581
